City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Belyy Yar,RU,2022-08-31 21:48:09,53.6039,91.3903,288.09,72,0,3.0
214,Abu Samrah,SY,2022-08-31 21:48:09,35.3029,37.1841,302.88,38,39,2.58
215,Paamiut,GL,2022-08-31 21:48:10,61.994,-49.6678,278.64,77,27,5.56
216,Broken Hill,AU,2022-08-31 21:48:11,-31.95,141.4333,284.17,53,51,1.58
217,Ushtobe,KZ,2022-08-31 21:48:12,45.2514,77.9838,290.94,38,0,2.1
218,Matinha,BR,2022-08-31 21:48:14,-3.1006,-45.0336,298.26,76,81,2.02
219,Prado,BR,2022-08-31 21:48:16,-17.3411,-39.2208,292.43,79,95,4.3
220,Ostrovnoy,RU,2022-08-31 21:48:17,68.0531,39.5131,280.35,71,100,6.62
221,Roswell,US,2022-08-31 21:45:55,34.0232,-84.3616,305.77,45,0,3.09
222,Mount Gambier,AU,2022-08-31 21:48:19,-37.8333,140.7667,282.62,82,100,2.04
223,Vao,NC,2022-08-31 21:48:19,-22.6667,167.4833,294.86,68,99,7.56
224,Grumazesti,RO,2022-08-31 21:48:20,47.1333,26.3667,293.19,44,99,2.06
225,Onega,RU,2022-08-31 21:48:21,63.9061,38.1404,281.02,63,100,7.02
226,Businga,CD,2022-08-31 21:48:22,3.3333,20.8833,294.16,98,95,0.68
227,Odweyne,SO,2022-08-31 21:48:23,9.4092,45.064,295.75,57,69,6.9
228,Buraydah,SA,2022-08-31 21:48:24,26.326,43.975,305.4,12,27,3.77
229,La Ligua,CL,2022-08-31 21:48:25,-32.4524,-71.2311,285.05,81,100,1.58
230,Isiro,CD,2022-08-31 21:48:26,2.7739,27.616,292.02,94,100,0.34
231,Jutai,BR,2022-08-31 21:48:27,-5.1833,-68.9,300.94,67,98,0.15
232,Baherden,TM,2022-08-31 21:48:28,38.4362,57.4316,301.66,16,0,1.91
233,Ikom,NG,2022-08-31 21:48:29,5.9667,8.7063,295.91,97,100,0.98
234,Bonthe,SL,2022-08-31 21:48:30,7.5264,-12.505,298.26,85,100,3.89
235,Upernavik,GL,2022-08-31 21:48:31,72.7868,-56.1549,277.56,89,100,8.64
236,Iqaluit,CA,2022-08-31 21:48:32,63.7506,-68.5145,281.0,81,100,7.2
